match_id,players,link
WS217,Bianca Andreescu v Su-Wei Hsieh,https://wsczoominwestus.azureedge.net/dynamicassets/ac2eef05-86b8-4ac5-a2c5-7a7ee3a6ace5.png
MS209,Dominic Thiem v Dominik Koepfer,https://wsczoominwestus.azureedge.net/dynamicassets/0a2a3f0d-511f-4561-87d2-bbf1d16b542d.png
WS232,Ajla Tomljanovic v Simona Halep,https://wsczoominwestus.azureedge.net/dynamicassets/6d1407da-b506-419d-a697-7270b0c8f33a.png
MS216,Alexandre Muller v Diego Schwartzman,
WS221,Garbiñe Muguruza v Liudmila Samsonova,https://wsczoominwestus.azureedge.net/dynamicassets/7e46b9fd-3c4b-4466-a354-115a5e40d56e.png
WD125,Shuko Aoyama v Asia Muhammad,
MD121,Max Purcell v Guillermo Duran,
MD128,Ricardas Berankis v Henri Kontinen,
MD106,Lorenzo Sonego v Romain Arneodo,
WD130,Kateryna Bondarenko v Marie Bouzkova,
WD120,Belinda Bencic v Alexa Guarachi,
WS226,Alizé Cornet v Ann Li,https://wsczoominwestus.azureedge.net/dynamicassets/57c29398-2d30-411d-9e39-42096947d34e.png
MS207,Adrian Mannarino v Miomir Kecmanovic,https://wsczoominwestus.azureedge.net/dynamicassets/7be16a84-4f7a-4583-84a2-55d770d4435d.png
WD115,Ekaterina Alexandrova v Lucie Hradecka,
MD118,Radu Albot v Andres Molteni,
WD105,Yifan Xu v Anastasia Pavlyuchenkova,
WD108,Aleksandra Krunic v Yingying Duan,
MD107,Laslo Djere v Andrew Harris,https://wsczoominwestus.azureedge.net/dynamicassets/cc5c871b-f522-46ae-8d00-c13aceddd9b0.png
WD117,Gabriela Dabrowski v Lara Arruabarrena,
WD131,Ashleigh Barty v Abbie Myers,
WD123,Vera Lapko v Madison Brengle,
MD103,Marcelo Demoliner v Marcelo Arevalo,
MD122,Pablo Cuevas v Matthew Ebden,
MD113,John Peers v Alex de Minaur,
WD121,Lyudmyla Kichenok v Makoto Ninomiya,
WD122,Andreea Mitu v Monica Niculescu,
MD114,Rohan Bopanna v Ji Sung Nam,
WD132,Cornelia Lister v Elise Mertens,
MD108,Marcos Giron v Jamie Murray,
WD118,Caroline Dolehide v Coco Gauff,
MD131,Petros Tsitsipas v Mackenzie McDonald,https://wsczoominwestus.azureedge.net/dynamicassets/513dc425-aa72-4f45-97c4-bfafc55fccd8.png
MD132,Yen-Hsun Lu v Nikola Mektic,
